timestamp,open,low,high,close,volume
2021-06-17,5125,5075,5150,5100,38074600
2021-06-18,5075,4900,5125,5000,112157600
2021-06-21,4920,4760,4970,4920,48183300
2021-06-22,4920,4900,5025,4920,47156200
2021-06-23,4980,4920,5025,4930,46351900
2021-06-24,4930,4910,4980,4940,24665200
2021-06-25,4940,4910,4980,4920,33125300
2021-06-28,4920,4710,4930,4710,53083400
2021-06-29,4730,4710,4920,4840,70425700
2021-06-30,4830,4820,5000,4940,34641700
2021-07-01,4990,4950,5100,5025,42856900
2021-07-02,5025,4980,5075,5000,22436900
2021-07-05,5050,4920,5075,4940,27554100
2021-07-06,4970,4890,4970,4900,31280100
2021-07-07,4900,4860,4990,4900,35907800
2021-07-08,4930,4850,4960,4880,40566600
2021-07-09,4880,4870,4920,4910,21088500
2021-07-12,4910,4880,4950,4920,26816600
2021-07-13,4950,4850,4960,4900,28998600
2021-07-14,4920,4730,4920,4730,43408700
2021-07-15,4730,4640,4840,4810,50750700
2021-07-16,4840,4820,4910,4880,32544000
2021-07-19,4850,4780,4870,4780,25106100
2021-07-20,4850,4780,4870,4780,0
2021-07-21,4780,4780,4930,4870,41716000
2021-07-22,4930,4900,5025,4980,36287300
2021-07-23,5000,4910,5000,4950,26847700
2021-07-26,4950,4770,4970,4770,43373400
2021-07-27,4770,4730,4830,4760,42635500
2021-07-28,4780,4710,4790,4710,24083000
2021-07-29,4720,4650,4740,4650,50238500
2021-07-30,4710,4670,4840,4720,65379500
2021-08-02,4730,4730,4820,4820,39192600
2021-08-03,4840,4830,4970,4940,46414100
2021-08-04,4970,4870,4970,4900,25646900
2021-08-05,4900,4860,4930,4890,31304900
2021-08-06,4940,4880,4980,4940,45454600
2021-08-09,4940,4830,4950,4860,31858700
2021-08-10,4900,4840,4930,4910,41920300
2021-08-11,4900,4840,4930,4910,0
2021-08-12,4940,4880,4960,4940,22191700
2021-08-13,4960,4960,5075,5025,62673300
2021-08-16,5050,4990,5075,5075,46949700
2021-08-17,5050,4990,5075,5075,0
2021-08-18,5100,5075,5300,5225,102560600
